episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
30, -2246.8264141082764, 3, 5.143048272000669, 122, 32516,                                             32516, 4.280865669250488, 175.414306640625
31, -2493.2109587192535, 2, 3.336343475999456, 78, 32594,                                             32594, 5.100020408630371, 176.15115356445312
32, -2613.044096469879, 2, 4.342340592000255, 101, 32695,                                             32695, 4.332223415374756, 174.7742462158203
33, -2709.44728153944, 2, 9.15782343400133, 203, 32898,                                             32898, 4.844480514526367, 174.63510131835938
34, 2231.4523254930973, 1, 7.953038822000963, 169, 33067,                                             33067, 4.703664779663086, 174.33050537109375
35, -2544.25175011158, 2, 2.916347209999003, 57, 33124,                                             33124, 4.937633514404297, 173.7763214111328
36, 1884.6636807918549, 1, 7.149854657000105, 181, 33305,                                             33305, 5.211724281311035, 174.31167602539062
37, -2824.1963201761246, 2, 8.143472671999916, 193, 33498,                                             33498, 4.48623514175415, 174.17323303222656
38, 1550.843638241291, 1, 13.813395557001058, 333, 33831,                                             33831, 4.842347145080566, 174.87413024902344
39, -2414.6668280363083, 2, 4.5483231250000244, 123, 33954,                                             33954, 5.232898235321045, 173.71803283691406
40, -2630.4156690835953, 3, 5.725562830999479, 146, 34100,                                             34100, 4.541898727416992, 174.30642700195312
41, -3047.582873404026, 2, 7.168328263998774, 190, 34290,                                             34290, 5.8866448402404785, 173.82144165039062
42, 2338.9280435442924, 1, 2.5385069910007587, 71, 34361,                                             34361, 4.431623458862305, 173.03323364257812
43, 1900.8339876830578, 1, 11.223460487999546, 338, 34699,                                             34699, 5.764716148376465, 172.54754638671875
44, -2282.3936343193054, 2, 1.9287061969989736, 50, 34749,                                             34749, 7.162390232086182, 171.5595703125
45, -2478.029860854149, 2, 6.537055179998788, 168, 34917,                                             34917, 5.551999092102051, 170.89773559570312
46, -2351.7238968610764, 2, 3.350994169999467, 81, 34998,                                             34998, 4.947350025177002, 171.06443786621094
47, -2491.140562415123, 2, 3.3178687100007664, 75, 35073,                                             35073, 4.75138521194458, 170.57684326171875
48, -2242.775866627693, 2, 3.137596078999195, 75, 35148,                                             35148, 4.913084506988525, 170.82992553710938
49, 2072.6580550670624, 1, 6.251427319999493, 156, 35304,                                             35304, 5.905212879180908, 170.67945861816406
50, -2271.336804151535, 2, 1.9130576260013186, 39, 35343,                                             35343, 4.111751556396484, 170.12364196777344
51, 2245.082808673382, 1, 6.01374797400058, 150, 35493,                                             35493, 4.461721420288086, 169.99090576171875
52, -2595.754879593849, 2, 2.7253290799999377, 61, 35554,                                             35554, 4.526607036590576, 169.60830688476562
53, -2278.876938700676, 2, 3.5487051619984413, 82, 35636,                                             35636, 6.252237319946289, 170.00625610351562
54, -2193.0392768383026, 2, 2.7308670500005974, 64, 35700,                                             35700, 7.320800304412842, 169.4068603515625
55, 2316.6525751948357, 1, 4.323157156999514, 106, 35806,                                             35806, 5.743378162384033, 168.94178771972656
56, -2773.22112762928, 2, 6.182468711000183, 180, 35986,                                             35986, 5.8034844398498535, 169.09815979003906
57, -2474.516164422035, 2, 3.9222514419998333, 102, 36088,                                             36088, 5.699000358581543, 168.8015899658203
